feature,importance,importance_percent
numeric__vibration_mm_s_rolling_mean_10,0.23073457,23.073458
categorical__equipment_type_gearbox,0.14139037,14.139037
categorical__equipment_type_conveyor,0.13093528,13.093528
numeric__vibration_mm_s,0.118003696,11.800369
numeric__rpm_rolling_mean_10,0.08765879,8.76588
categorical__equipment_type_pump,0.062338237,6.233824
numeric__rpm,0.05265444,5.2654443
numeric__temperature_c,0.05057242,5.057242
numeric__current_a,0.04295389,4.295389
numeric__temperature_c_rolling_mean_10,0.028441215,2.8441215
numeric__current_a_rolling_mean_10,0.022015328,2.2015328
categorical__equipment_type_motor,0.011258508,1.1258508
numeric__rpm_delta,0.0066120466,0.66120464
numeric__load_factor,0.0055785733,0.55785733
categorical__equipment_type_fan,0.0028445558,0.28445557
numeric__current_a_delta,0.0027827618,0.27827618
numeric__vibration_mm_s_delta,0.0018072188,0.18072188
numeric__temperature_c_delta,0.0014180841,0.14180842
categorical__equipment_type_compressor,0.0,0.0
