feature,mean_abs_shap,importance_percent
numeric__vibration_mm_s_rolling_mean_10,4.3444757,40.89656
numeric__temperature_c_rolling_mean_10,1.0275265,9.672583
numeric__vibration_mm_s,1.021452,9.6154
numeric__rpm,0.85593617,8.057323
numeric__temperature_c,0.787866,7.4165473
numeric__rpm_rolling_mean_10,0.60205555,5.6674275
numeric__current_a,0.41534576,3.909842
numeric__current_a_rolling_mean_10,0.35084888,3.3027031
numeric__load_factor,0.33106223,3.116442
categorical__equipment_type_gearbox,0.2703523,2.5449514
numeric__rpm_delta,0.18143189,1.7079023
numeric__vibration_mm_s_delta,0.15902159,1.4969438
numeric__current_a_delta,0.12057824,1.1350588
numeric__temperature_c_delta,0.089144,0.83915377
categorical__equipment_type_motor,0.024248354,0.228261
categorical__equipment_type_fan,0.023534369,0.22153991
categorical__equipment_type_pump,0.01023441,0.09634124
categorical__equipment_type_conveyor,0.007968673,0.0750128
categorical__equipment_type_compressor,0.0,0.0
